"node_id","layer_id","module","plasmid_length","degree","final","presence","strength","edge_type","flow"
4,3,38,3385,20,"0",0,17.9923190546529,"All",0.00110367
4,12,38,3385,20,"0",0,17.9923190546529,"All",0.00110367
4,17,38,3385,20,"0",0,17.9923190546529,"All",0.00110367
4,20,38,3385,20,"0",0,17.9923190546529,"All",0.00110367
4,3,38,3385,20,"rep",1,17.9923190546529,"All",0.00110367
4,12,38,3385,20,"rep",1,17.9923190546529,"All",0.00110367
4,17,38,3385,20,"rep",1,17.9923190546529,"All",0.00110367
4,20,38,3385,20,"rep",1,17.9923190546529,"All",0.00110367
4,3,38,3385,20,"mob",1,17.9923190546529,"All",0.00110367
4,12,38,3385,20,"mob",1,17.9923190546529,"All",0.00110367
4,17,38,3385,20,"mob",1,17.9923190546529,"All",0.00110367
4,20,38,3385,20,"mob",1,17.9923190546529,"All",0.00110367
8,3,87,2421,6,"rep",1,5.39859771995043,"All",0.000662316
8,12,87,2421,6,"rep",1,5.39859771995043,"All",0.000662316
8,3,87,2421,6,"soren",1,5.39859771995043,"All",0.000662316
8,12,87,2421,6,"soren",1,5.39859771995043,"All",0.000662316
8,3,87,2421,6,"PRE",1,5.39859771995043,"All",0.000662316
8,12,87,2421,6,"PRE",1,5.39859771995043,"All",0.000662316
17,5,17,3636,14,"mob",1,12.8349674477448,"All",0.00157463
17,15,17,3636,14,"mob",1,12.8349674477448,"All",0.00157463
17,5,17,3636,14,"rep",1,12.8349674477448,"All",0.00157463
17,15,17,3636,14,"rep",1,12.8349674477448,"All",0.00157463
22,5,70,2985,8,"rep",1,6.52060301507538,"All",0.000799966
22,20,70,2985,8,"rep",1,6.52060301507538,"All",0.000799966
22,5,70,2985,8,"integrase",1,6.52060301507538,"All",0.000799966
22,20,70,2985,8,"integrase",1,6.52060301507538,"All",0.000799966
23,5,24,2797,12,"mob",1,10.1615881158384,"All",0.00124665
23,17,24,2797,12,"mob",1,10.1615881158384,"All",0.00124665
23,5,24,2797,12,"0",0,10.1615881158384,"All",0.00124665
23,17,24,2797,12,"0",0,10.1615881158384,"All",0.00124665
23,5,24,2797,12,"rep",1,10.1615881158384,"All",0.00124665
23,17,24,2797,12,"rep",1,10.1615881158384,"All",0.00124665
26,6,17,3528,14,"rep",1,11.819118173623,"All",0.00145
26,21,17,3528,14,"rep",1,11.819118173623,"All",0.00145
26,6,17,3528,14,"mob",1,11.819118173623,"All",0.00145
26,21,17,3528,14,"mob",1,11.819118173623,"All",0.00145
33,6,8,2580,28,"0",0,26.3627775193798,"All",0.00161713
33,12,8,2580,28,"0",0,26.3627775193798,"All",0.00161713
33,16,8,2580,28,"0",0,26.3627775193798,"All",0.00161713
33,20,8,2580,28,"0",0,26.3627775193798,"All",0.00161713
33,6,8,2580,28,"rep",1,26.3627775193798,"All",0.00161713
33,12,8,2580,28,"rep",1,26.3627775193798,"All",0.00161713
33,16,8,2580,28,"rep",1,26.3627775193798,"All",0.00161713
33,20,8,2580,28,"rep",1,26.3627775193798,"All",0.00161713
54,8,62,3928,12,"hypo",1,10.1328920570265,"All",0.00079925
54,9,62,3928,12,"hypo",1,10.1328920570265,"All",0.00079925
54,11,62,3928,12,"hypo",1,10.1328920570265,"All",0.000887764
54,8,62,3928,12,"0",0,10.1328920570265,"All",0.00079925
54,9,62,3928,12,"0",0,10.1328920570265,"All",0.00079925
54,11,62,3928,12,"0",0,10.1328920570265,"All",0.000887764
54,8,62,3928,12,"rep",1,10.1328920570265,"All",0.00079925
54,9,62,3928,12,"rep",1,10.1328920570265,"All",0.00079925
54,11,62,3928,12,"rep",1,10.1328920570265,"All",0.000887764
55,8,10,3159,18,"PRE",1,13.1986133565201,"All",0.00161924
55,10,10,3159,18,"PRE",1,13.1986133565201,"All",0.00161924
55,8,10,3159,18,"hypo",1,13.1986133565201,"All",0.00161924
55,10,10,3159,18,"hypo",1,13.1986133565201,"All",0.00161924
55,8,10,3159,18,"soren",1,13.1986133565201,"All",0.00161924
55,10,10,3159,18,"soren",1,13.1986133565201,"All",0.00161924
55,8,10,3159,18,"DNA primase",1,13.1986133565201,"All",0.00161924
55,10,10,3159,18,"DNA primase",1,13.1986133565201,"All",0.00161924
56,8,3,3106,22,"soren",1,19.9405486489013,"All",0.00244636
56,12,3,3106,22,"soren",1,19.9405486489013,"All",0.00244636
56,8,3,3106,22,"rep",1,19.9405486489013,"All",0.00244636
56,12,3,3106,22,"rep",1,19.9405486489013,"All",0.00244636
57,8,80,3025,12,"0",0,12,"All",0.000736097
57,10,80,3025,12,"0",0,12,"All",0.000736097
57,12,80,3025,12,"0",0,12,"All",0.000736097
57,16,80,3025,12,"0",0,12,"All",0.000736097
57,8,80,3025,12,"hypo",1,12,"All",0.000736097
57,10,80,3025,12,"hypo",1,12,"All",0.000736097
57,12,80,3025,12,"hypo",1,12,"All",0.000736097
57,16,80,3025,12,"hypo",1,12,"All",0.000736097
57,8,80,3025,12,"mob",1,12,"All",0.000736097
57,10,80,3025,12,"mob",1,12,"All",0.000736097
57,12,80,3025,12,"mob",1,12,"All",0.000736097
57,16,80,3025,12,"mob",1,12,"All",0.000736097
58,8,35,2668,15,"PRE",1,14.4920013666565,"All",0.00118528
58,10,35,2668,15,"PRE",1,14.4920013666565,"All",0.00118528
58,11,35,2668,15,"PRE",1,14.4920013666565,"All",0.00118528
58,8,35,2668,15,"0",0,14.4920013666565,"All",0.00118528
58,10,35,2668,15,"0",0,14.4920013666565,"All",0.00118528
58,11,35,2668,15,"0",0,14.4920013666565,"All",0.00118528
