uniq_pair,layer_from,node_from,layer_to,node_to,length,pident,plasmid.length.query,plasmid.length.subject,edge_type,weight
L10N1044_L10N3129,10,3129,10,1044,2695,100,3064,3064,Intra,0.8795691906005222
L10N1044_L20N7219,20,7219,10,1044,735,93.197,2977,3064,Inter,0.2235632996083551
L10N1044_L21N7585,21,7585,10,1044,1374,89.592,3348,3064,Inter,0.3676804301075268
L10N1044_L6N691,6,691,10,1044,642,93.458,2977,3064,Inter,0.39131920365535244
L10N1355_L10N3093,10,1355,10,3093,3235,99.042,3563,3561,Intra,0.8992446533819815
L10N1395_L10N2532,10,2532,10,1395,1925,100,3185,3185,Intra,0.6043956043956044
L10N1395_L10N3119,10,3119,10,1395,2966,100,3185,3185,Intra,0.9312401883830456
L10N1395_L11N2532,11,2532,10,1395,1925,100,3185,3185,Inter,0.6043956043956044
L10N1395_L11N3530,11,3530,10,1395,1877,100,3185,3185,Inter,0.5893249607535321
L10N1395_L9N2532,9,2532,10,1395,1925,100,3185,3185,Inter,0.6043956043956044
L10N1401_L11N3546,10,1401,11,3546,3005,99.8,3140,3003,Inter,0.955092356687898
L10N1401_L21N7596,10,1401,21,7596,1437,99.582,3140,3105,Inter,0.45573036305732484
L10N1409_L11N5286,10,1409,11,5286,1375,96.291,3077,2873,Inter,0.43028964900877475
L10N1409_L16N5286,10,1409,16,5286,1375,96.291,3077,2873,Inter,0.43028964900877475
L10N1409_L17N6028,10,1409,17,6028,1122,96.791,3077,2967,Inter,0.3529395580110497
L10N1409_L21N7604,21,7604,10,1409,635,94.803,2965,3077,Inter,0.19564480012999674
L10N1409_L22N8120,10,1409,22,8120,867,98.385,3077,2985,Inter,0.2772174033149171
L10N1409_L3N199,3,199,10,1409,839,89.869,3246,3077,Inter,0.2322861706715958
L10N1409_L9N2535,10,1409,9,2535,1863,99.839,3077,3077,Inter,0.6044850731231719
L10N141_L11N3582,10,141,11,3582,1971,99.493,2449,2612,Inter,0.7507683882082695
L10N141_L12N294,10,141,12,294,2208,100,2449,2449,Inter,0.9015924867292773
L10N141_L13N4619,10,141,13,4619,1808,100,2449,2312,Inter,0.9665169456921192
L10N141_L16N5335,10,141,16,5335,2449,99.388,2449,2380,Inter,0.9938800000000001
L10N141_L17N6072,10,141,17,6072,1443,99.584,2449,2470,Inter,0.5817802105263159
L10N141_L17N6075,10,141,17,6075,1459,100,2449,2449,Inter,0.5957533687219273
L10N141_L20N7250,10,141,20,7250,1459,100,2449,2449,Inter,0.5957533687219273
L10N141_L22N8165,22,8165,10,141,1421,100,2411,2449,Inter,0.5802368313597387
L10N141_L4N294,10,141,4,294,2208,100,2449,2449,Inter,0.9015924867292773
L10N141_L5N415,10,141,5,415,1422,100,2449,2220,Inter,0.5806451612903226
L10N141_L8N1486,10,141,8,1486,1947,99.538,2449,2586,Inter,0.7494218329466357
L10N1412_L10N1434,10,1434,10,1412,880,100,2877,3057,Intra,0.5754007196597972
L10N1412_L10N3122,10,1412,10,3122,3057,100,3057,3160,Intra,0.9674050632911393
L10N1412_L11N1434,11,1434,10,1412,880,100,2877,3057,Inter,0.5754007196597972
L10N1412_L8N1434,8,1434,10,1412,880,100,2877,3057,Inter,0.5754007196597972
L10N1412_L9N1434,9,1434,10,1412,880,100,2877,3057,Inter,0.5754007196597972
L10N1434_L10N3122,10,1434,10,3122,879,100,2877,3160,Intra,0.2781645569620253
L10N1434_L11N1412,10,1434,11,1412,880,100,2877,3057,Inter,0.5754007196597972
L10N1434_L8N1412,10,1434,8,1412,880,100,2877,3057,Inter,0.5754007196597972
L10N1434_L9N1412,10,1434,9,1412,880,100,2877,3057,Inter,0.5754007196597972
L10N1589_L10N3208,10,1589,10,3208,1949,100,2100,2100,Intra,0.9280952380952381
L10N1589_L11N66,10,1589,11,66,1930,99.948,2100,2100,Inter,0.9185697142857142
L10N1589_L9N66,10,1589,9,66,1930,99.948,2100,2100,Inter,0.9185697142857142
L10N2483_L10N3070,10,2483,10,3070,4561,99.956,4574,4539,Intra,0.9967190992566681
L10N2516_L10N3107,10,3107,10,2516,1997,99.199,3370,3370,Intra,0.5878350237388723
L10N2532_L10N3119,10,2532,10,3119,2144,100,3185,3185,Intra,0.6731554160125589
L10N2532_L11N1395,10,2532,11,1395,1925,100,3185,3185,Inter,0.6043956043956044
L10N2532_L11N3530,10,2532,11,3530,2627,100,3185,3185,Inter,0.8248037676609106
L10N2532_L8N1395,10,2532,8,1395,1925,100,3185,3185,Inter,0.6043956043956044
L10N2595_L10N3183,10,2595,10,3183,2373,100,2381,2373,Intra,0.996640067198656
L10N2624_L10N3198,10,2624,10,3198,1427,100,2157,2157,Intra,0.6615669911914697
L10N2624_L11N3628,10,2624,11,3628,1370,100,2157,2157,Inter,0.6351414000927214
L10N2624_L11N4135,10,2624,11,4135,1144,100,2157,2157,Inter,0.5303662494204914
L10N2624_L12N4135,10,2624,12,4135,1144,100,2157,2157,Inter,0.5303662494204914
L10N2624_L15N5090,10,2624,15,5090,2157,98.702,2157,2075,Inter,0.98702
L10N2624_L21N7680,21,7680,10,2624,1258,100,2157,2157,Inter,0.5832174316179879
L10N2624_L5N420,10,2624,5,420,1918,96.767,2157,2154,Inter,0.8604501900788131
L10N2624_L8N1574,10,2624,8,1574,1780,96.854,2157,2154,Inter,0.7992587853500231
L10N3066_L11N3455,10,3066,11,3455,6028,99.884,7297,7296,Inter,0.8251346471152528
L10N3066_L8N1293,10,3066,8,1293,4723,99.873,7297,7296,Inter,0.6464302850486502
L10N3067_L8N1301,8,1301,10,3067,2873,100,5418,5418,Inter,0.5302694721299372
L10N3068_L11N3462,10,3068,11,3462,4316,100,5063,5063,Inter,0.8524590163934426
L10N3069_L11N3464,11,3464,10,3069,2623,100,4960,4960,Inter,0.5288306451612903
L10N3069_L8N1308,8,1308,10,3069,2877,99.93,4960,4960,Inter,0.5796342943548388
L10N3070_L9N2483,9,2483,10,3070,4561,99.956,4574,4539,Inter,0.9967190992566681
L10N3072_L20N7206,10,3072,20,7206,2894,98.341,4425,4618,Inter,0.6162816240796881
L10N3072_L9N2485,9,2485,10,3072,4383,99.977,4383,4425,Inter,0.9902806576271187
L10N3073_L9N2486,9,2486,10,3073,4217,100,4297,4213,Inter,0.9813823597858972
L10N3075_L11N3480,10,3075,11,3480,4092,99.78,4092,4092,Inter,0.9978
L10N3075_L8N1327,8,1327,10,3075,2996,99.933,4092,4092,Inter,0.7316697653958945
L10N3075_L9N2488,9,2488,10,3075,2996,99.933,4092,4092,Inter,0.7316697653958945
L10N3076_L9N2490,9,2490,10,3076,2433,99.959,4029,4073,Inter,0.5971034790081021
